title
美國加州。輕鬆小站。TenRen's Tea Time。鹽酥雞飯~I'm coming~
台北中山。Has café。瀚斯咖啡。圖一片清幽~嘗一塊招牌馬芬
日本京都。Arashiyama Benkei。嵐山辨慶。不會日文也可以預約!
雜記。台灣虎航。Tiger Taiwan。首航888瘋狂大促銷
美國加州。環球影城。Universal Studio Hollywood。自駕二訪!!!驚心動魄
美國加州。KING Buffet。讓美食撫平在外流浪的味蕾
美國加州。優勝美地。Yosemite National Park。風景如其名
美國加州。舊金山。Cliff House。St. Mary's Cathedral。San Francisco Twin Peaks
